PERIODO,TERRITORIO,PATOLOGIA,MASCHI,FEMMINE
2009-2017,082001,Tumori maligni della vescica,9,1
2009-2017,082001,Tumori maligni del tessuto linfatico/ematopoietico,6,4
2009-2017,082001,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,2,3
2009-2017,082001,"Malattie endocrine, nutrizionali e metaboliche",12,29
2009-2017,082001,Diabete mellito,11,28
2009-2017,082001,Disturbi psichici e comportamentali,9,21
2009-2017,082001,Malattie del sistema nervoso e degli organi di senso,17,6
2009-2017,082001,Malattie del sistema circolatorio,107,100
2009-2017,082001,Malattie ischemiche del cuore,44,19
2009-2017,082001,Altre malattie del cuore,16,16
2009-2017,082001,Malattie cerebrovascolari,21,22
2009-2017,082001,Malattie del sistema respiratorio,20,21
2009-2017,082001,Polmonite,4,7
2009-2017,082001,Malattie croniche delle basse vie respiratorie,13,6
2009-2017,082001,Asma,1,0
2009-2017,082001,Malattie dell'apparato digerente,10,12
2009-2017,082001,"Ulcera dello stomaco, duodeno e digiuno",1,0
2009-2017,082001,Malattie epatiche croniche,6,6
2009-2017,082001,Malattie della pelle e del tessuto sottocutaneo,1,0
2009-2017,082001,Malattie del sistema osteomuscolare e del tessuto connettivo,0,1
2009-2017,082001,Artrite reumatoide e osteoartrite,0,1
2009-2017,082001,Malattie del sistema genitourinario,5,9
2009-2017,082001,Malattie del rene e dell'uretere,4,9
2009-2017,082001,Malformazioni congenite e anormalità cromosomiche,1,0
2009-2017,082001,"Sintomi, segni, risultati anomali e cause mal definite",8,7
2009-2017,082001,Cause esterne di traumatismo e avvelenamento,16,4
2009-2017,082001,Accidenti,14,3
2009-2017,082001,Accidenti di trasporto,4,0
2009-2017,082001,Cadute accidentali,8,3
2009-2017,082001,Suicidio e autolesione intenzionale,2,0
2009-2017,082002,Tumore,39,24
2009-2017,082002,Tumori maligni,38,23
2009-2017,082002,"Tumori maligni delle labbra, cavità orale e faringe",2,0
2009-2017,082002,Tumori maligni dello stomaco,4,1
2009-2017,082002,Tumori maligni del colon,4,2
2009-2017,082002,Tumori maligni del retto e dell'ano,1,0
2009-2017,082002,Tumori maligni del pancreas,1,3
2009-2017,082002,Tumori maligni della laringe e della trachea/bronchi/polm.,11,1
2009-2017,082002,Tumori maligni del seno,0,5
2009-2017,082002,Tumori maligni di altre parti dell'utero,0,2
2009-2017,082002,Tumori maligni della prostata,6,0
2009-2017,082002,Tumori maligni della vescica,2,0
2009-2017,082002,Tumori maligni del tessuto linfatico/ematopoietico,2,5
2009-2017,082002,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,0
2009-2017,082002,"Malattie endocrine, nutrizionali e metaboliche",21,14
2009-2017,082002,Diabete mellito,21,14
2009-2017,082002,Disturbi psichici e comportamentali,6,7
2009-2017,082002,Malattie del sistema nervoso e degli organi di senso,6,14
2009-2017,082002,Malattie del sistema circolatorio,52,73
2009-2017,082002,Malattie ischemiche del cuore,9,12
2009-2017,082002,Altre malattie del cuore,3,6
2009-2017,082002,Malattie cerebrovascolari,21,31
2009-2017,082002,Malattie del sistema respiratorio,11,9
2009-2017,082002,Polmonite,1,0
2009-2017,082002,Malattie croniche delle basse vie respiratorie,10,7
2009-2017,082002,Asma,1,0
2009-2017,082002,Malattie dell'apparato digerente,5,2
2009-2017,082002,Malattie epatiche croniche,5,0
2009-2017,082002,Malattie del sistema osteomuscolare e del tessuto connettivo,0,2
2009-2017,082002,Artrite reumatoide e osteoartrite,0,1
2009-2017,082002,Malattie del sistema genitourinario,3,1
2009-2017,082002,Malattie del rene e dell'uretere,3,1
2009-2017,082002,Malformazioni congenite e anormalità cromosomiche,0,1
2009-2017,082002,"Sintomi, segni, risultati anomali e cause mal definite",2,3
2009-2017,082002,Cause esterne di traumatismo e avvelenamento,10,8
2009-2017,082002,Accidenti,7,8
2009-2017,082002,Accidenti di trasporto,1,0
2009-2017,082002,Cadute accidentali,3,5
2009-2017,082002,Suicidio e autolesione intenzionale,2,0
2009-2017,082002,"Omicidio, aggressione",1,0
2009-2017,082003,Tumore,21,9
2009-2017,082003,Tumori maligni,21,9
2009-2017,082003,"Tumori maligni delle labbra, cavità orale e faringe",1,0
2009-2017,082003,Tumori maligni dell'esofago,0,1
2009-2017,082003,Tumori maligni dello stomaco,1,0
2009-2017,082003,Tumori maligni del colon,1,2
2009-2017,082003,Tumori maligni del retto e dell'ano,0,3
2009-2017,082003,Tumori maligni del fegato e dei dotti biliari intraepatici,1,0
2009-2017,082003,Tumori maligni della laringe e della trachea/bronchi/polm.,7,1
2009-2017,082003,Tumori maligni della prostata,2,0
2009-2017,082003,Tumori maligni della vescica,1,0
2009-2017,082003,Tumori maligni del tessuto linfatico/ematopoietico,4,0
2009-2017,082003,"Malattie endocrine, nutrizionali e metaboliche",3,8
2009-2017,082003,Diabete mellito,3,7
2009-2017,082003,Disturbi psichici e comportamentali,0,3
2009-2017,082003,Malattie del sistema nervoso e degli organi di senso,4,1
2009-2017,082003,Malattie del sistema circolatorio,33,55
2009-2017,082003,Malattie ischemiche del cuore,3,8
2009-2017,082003,Altre malattie del cuore,10,17
2009-2017,082003,Malattie cerebrovascolari,3,10
2009-2017,082003,Malattie del sistema respiratorio,4,3
2009-2017,082003,Polmonite,0,1
2009-2017,082003,Malattie croniche delle basse vie respiratorie,2,2
2009-2017,082003,Malattie dell'apparato digerente,1,3
2009-2017,082003,Malattie del sistema genitourinario,3,3
2009-2017,082003,Malattie del rene e dell'uretere,3,3
2009-2017,082003,"Sintomi, segni, risultati anomali e cause mal definite",1,1
2009-2017,082003,Cause esterne di traumatismo e avvelenamento,4,1
2009-2017,082003,Accidenti,4,1
2009-2017,082003,Accidenti di trasporto,1,0
2009-2017,082003,Cadute accidentali,2,1
2009-2017,082004,Malattie infettive e parassitarie,1,5
2009-2017,082004,Tubercolosi,1,0
2009-2017,082004,Epatite virale,0,1
2009-2017,082004,Tumore,75,49
2009-2017,082004,Tumori maligni,74,47
2009-2017,082004,Tumori maligni dello stomaco,3,1
2009-2017,082004,Tumori maligni del colon,8,6
2009-2017,082004,Tumori maligni del retto e dell'ano,2,1
2009-2017,082004,Tumori maligni del fegato e dei dotti biliari intraepatici,7,2
2009-2017,082004,Tumori maligni del pancreas,3,8
2009-2017,082004,Tumori maligni della laringe e della trachea/bronchi/polm.,19,3
2009-2017,082004,Tumori maligni del seno,0,9
2009-2017,082004,Tumori maligni della cervice uterina,0,1
2009-2017,082004,Tumori maligni di altre parti dell'utero,0,3
2009-2017,082004,Tumori maligni dell'ovaio,0,3
2009-2017,082004,Tumori maligni della prostata,5,0
2009-2017,082004,Tumori maligni del rene,0,1
2009-2017,082004,Tumori maligni della vescica,4,0
2009-2017,082004,Tumori maligni del tessuto linfatico/ematopoietico,7,0
2009-2017,082004,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,0,1
2009-2017,082004,"Malattie endocrine, nutrizionali e metaboliche",12,6
2009-2017,082004,Diabete mellito,10,5
2009-2017,082004,Disturbi psichici e comportamentali,7,17
2009-2017,082004,Malattie del sistema nervoso e degli organi di senso,5,5
2009-2017,082004,Malattie del sistema circolatorio,79,115
2009-2017,082004,Malattie ischemiche del cuore,23,21
2009-2017,082004,Altre malattie del cuore,20,25
2009-2017,082004,Malattie cerebrovascolari,27,39
2009-2017,082004,Malattie del sistema respiratorio,21,10
2009-2017,082004,Polmonite,7,5
2009-2017,082004,Malattie croniche delle basse vie respiratorie,11,3
2009-2017,082004,Asma,0,2
2009-2017,082004,Malattie dell'apparato digerente,11,6
2009-2017,082004,Malattie epatiche croniche,7,3
2009-2017,082004,Malattie del sistema osteomuscolare e del tessuto connettivo,2,0
2009-2017,082004,Artrite reumatoide e osteoartrite,1,0
2009-2017,082004,Malattie del sistema genitourinario,6,6
2009-2017,082004,Malattie del rene e dell'uretere,6,6
2009-2017,082004,Alcune condizioni che hanno origine nel periodo perinatale,2,0
2009-2017,082004,Malformazioni congenite e anormalità cromosomiche,1,0
2009-2017,082004,Malformazioni congenite del sistema circolatorio,1,0
2009-2017,082004,"Sintomi, segni, risultati anomali e cause mal definite",2,2
2009-2017,082004,Cause esterne di traumatismo e avvelenamento,9,10
2009-2017,082004,Accidenti,8,10
2009-2017,082004,Accidenti di trasporto,2,0
2009-2017,082004,Cadute accidentali,4,7
2009-2017,082004,"Omicidio, aggressione",1,0
2009-2017,082005,Malattie infettive e parassitarie,1,3
2009-2017,082005,Epatite virale,0,1
2009-2017,082005,Tumore,101,79
2009-2017,082005,Tumori maligni,96,79
2009-2017,082005,"Tumori maligni delle labbra, cavità orale e faringe",4,0
2009-2017,082005,Tumori maligni dello stomaco,2,4
2009-2017,082005,Tumori maligni del colon,5,6
2009-2017,082005,Tumori maligni del retto e dell'ano,4,2
2009-2017,082005,Tumori maligni del fegato e dei dotti biliari intraepatici,4,10
2009-2017,082005,Tumori maligni del pancreas,6,5
2009-2017,082005,Tumori maligni della laringe e della trachea/bronchi/polm.,27,7
2009-2017,082005,Tumori maligni della cute,1,0
2009-2017,082005,Tumori maligni del seno,2,12
2009-2017,082005,Tumori maligni di altre parti dell'utero,0,4
2009-2017,082005,Tumori maligni dell'ovaio,0,6
2009-2017,082005,Tumori maligni della prostata,13,0
2009-2017,082005,Tumori maligni del rene,1,1
2009-2017,082005,Tumori maligni della vescica,7,3
2009-2017,082005,Tumori maligni del tessuto linfatico/ematopoietico,8,7
2009-2017,082005,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,0
2009-2017,082005,"Malattie endocrine, nutrizionali e metaboliche",20,26
2009-2017,082005,Diabete mellito,20,23
2009-2017,082005,Disturbi psichici e comportamentali,15,12
2009-2017,082005,Malattie del sistema nervoso e degli organi di senso,13,15
2009-2017,082005,Malattie del sistema circolatorio,154,161
2009-2017,082005,Malattie ischemiche del cuore,43,42
2009-2017,082005,Altre malattie del cuore,37,30
2009-2017,082005,Malattie cerebrovascolari,46,55
2009-2017,082005,Malattie del sistema respiratorio,32,25
2009-2017,082005,Polmonite,7,4
2009-2017,082005,Malattie croniche delle basse vie respiratorie,17,15
2009-2017,082005,Asma,0,1
2009-2017,082005,Malattie dell'apparato digerente,14,14
2009-2017,082005,"Ulcera dello stomaco, duodeno e digiuno",0,1
2009-2017,082005,Malattie epatiche croniche,9,1
2009-2017,082005,Malattie del sistema osteomuscolare e del tessuto connettivo,1,1
2009-2017,082005,Malattie del sistema genitourinario,9,11
2009-2017,082005,Malattie del rene e dell'uretere,5,10
2009-2017,082005,Alcune condizioni che hanno origine nel periodo perinatale,1,0
2009-2017,082005,Malformazioni congenite e anormalità cromosomiche,1,0
2009-2017,082005,"Sintomi, segni, risultati anomali e cause mal definite",7,16
2009-2017,082005,Cause esterne di traumatismo e avvelenamento,24,5
2009-2017,082005,Accidenti,19,4
2009-2017,082005,Accidenti di trasporto,6,1
2009-2017,082005,Cadute accidentali,7,3
2009-2017,082005,Avvelenamento accidentale,1,0
2009-2017,082005,Suicidio e autolesione intenzionale,5,1
2009-2017,082006,Malattie infettive e parassitarie,15,11
2009-2017,082006,Tubercolosi,2,1
2009-2017,082006,Epatite virale,6,3
2009-2017,082006,Tumore,679,493
2009-2017,082006,Tumori maligni,660,475
2009-2017,082006,"Tumori maligni delle labbra, cavità orale e faringe",9,5
2009-2017,082006,Tumori maligni dell'esofago,5,4
2009-2017,082006,Tumori maligni dello stomaco,36,12
2009-2017,082006,Tumori maligni del colon,54,57
2009-2017,082006,Tumori maligni del retto e dell'ano,17,6
2009-2017,082006,Tumori maligni del fegato e dei dotti biliari intraepatici,47,36
2009-2017,082006,Tumori maligni del pancreas,32,34
2009-2017,082006,Tumori maligni della laringe e della trachea/bronchi/polm.,200,55
2009-2017,082006,Tumori maligni della cute,5,6
2009-2017,082006,Tumori maligni del seno,1,80
2009-2017,082006,Tumori maligni di altre parti dell'utero,0,12
2009-2017,082006,Tumori maligni dell'ovaio,0,16
2009-2017,082006,Tumori maligni della prostata,64,0
2009-2017,082006,Tumori maligni del rene,15,7
2009-2017,082006,Tumori maligni della vescica,42,9
2009-2017,082006,Tumori maligni del tessuto linfatico/ematopoietico,46,50
2009-2017,082006,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,9,15
2009-2017,082006,"Malattie endocrine, nutrizionali e metaboliche",100,128
2009-2017,082006,Diabete mellito,89,116
2009-2017,082006,Disturbi psichici e comportamentali,52,65
2009-2017,082006,Abuso di alcool (compresa psicosi alcolica),2,0
2009-2017,082006,Malattie del sistema nervoso e degli organi di senso,78,90
2009-2017,082006,Malattie del sistema circolatorio,802,937
2009-2017,082006,Malattie ischemiche del cuore,240,182
2009-2017,082006,Altre malattie del cuore,150,193
2009-2017,082006,Malattie cerebrovascolari,222,285
2009-2017,082006,Malattie del sistema respiratorio,199,119
2009-2017,082006,Influenza,1,1
2009-2017,082006,Polmonite,51,32
2009-2017,082006,Malattie croniche delle basse vie respiratorie,113,52
2009-2017,082006,Asma,3,4
2009-2017,082006,Malattie dell'apparato digerente,65,75
2009-2017,082006,"Ulcera dello stomaco, duodeno e digiuno",3,5
2009-2017,082006,Malattie epatiche croniche,36,35
2009-2017,082006,Malattie della pelle e del tessuto sottocutaneo,3,1
2009-2017,082006,Malattie del sistema osteomuscolare e del tessuto connettivo,4,10
2009-2017,082006,Artrite reumatoide e osteoartrite,2,3
2009-2017,082006,Malattie del sistema genitourinario,52,55
2009-2017,082006,Malattie del rene e dell'uretere,51,54
2009-2017,082006,"Complicazioni della gravidanza, del parto e del puerperio",1,0
2009-2017,082006,Alcune condizioni che hanno origine nel periodo perinatale,4,6
2009-2017,082006,Malformazioni congenite e anormalità cromosomiche,8,6
2009-2017,082006,Malformazioni congenite del sistema nervoso,0,1
2009-2017,082006,Malformazioni congenite del sistema circolatorio,4,2
2009-2017,082006,"Sintomi, segni, risultati anomali e cause mal definite",59,57
2009-2017,082006,Cause sconosciute e non specificate,2,0
2009-2017,082006,Cause esterne di traumatismo e avvelenamento,80,69
2009-2017,082006,Accidenti,58,58
2009-2017,082006,Accidenti di trasporto,14,6
2009-2017,082006,Cadute accidentali,27,44
2009-2017,082006,Avvelenamento accidentale,0,2
2009-2017,082006,Suicidio e autolesione intenzionale,18,8
2009-2017,082006,"Omicidio, aggressione",4,0
2009-2017,082006,Eventi di intento indeterminato,0,2
2009-2017,082007,Malattie infettive e parassitarie,4,0
2009-2017,082007,Tumore,108,60
2009-2017,082007,Tumori maligni,107,58
2009-2017,082007,"Tumori maligni delle labbra, cavità orale e faringe",0,1
2009-2017,082007,Tumori maligni dell'esofago,1,1
2009-2017,082007,Tumori maligni dello stomaco,5,1
2009-2017,082007,Tumori maligni del colon,12,8
2009-2017,082007,Tumori maligni del fegato e dei dotti biliari intraepatici,7,1
2009-2017,082007,Tumori maligni del pancreas,5,7
2009-2017,082007,Tumori maligni della laringe e della trachea/bronchi/polm.,27,3
2009-2017,082007,Tumori maligni della cute,1,1
2009-2017,082007,Tumori maligni del seno,0,8
2009-2017,082007,Tumori maligni di altre parti dell'utero,0,6
2009-2017,082007,Tumori maligni della prostata,15,0
2009-2017,082007,Tumori maligni del rene,4,1
2009-2017,082007,Tumori maligni della vescica,8,3
2009-2017,082007,Tumori maligni del tessuto linfatico/ematopoietico,11,4
2009-2017,082007,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,3,0
2009-2017,082007,"Malattie endocrine, nutrizionali e metaboliche",11,12
2009-2017,082007,Diabete mellito,11,11
2009-2017,082007,Disturbi psichici e comportamentali,8,21
2009-2017,082007,Malattie del sistema nervoso e degli organi di senso,5,13
2009-2017,082007,Malattie del sistema circolatorio,110,130
2009-2017,082007,Malattie ischemiche del cuore,28,27
2009-2017,082007,Altre malattie del cuore,22,19
2009-2017,082007,Malattie cerebrovascolari,33,48
2009-2017,082007,Malattie del sistema respiratorio,20,11
2009-2017,082007,Polmonite,1,3
2009-2017,082007,Malattie croniche delle basse vie respiratorie,16,5
2009-2017,082007,Malattie dell'apparato digerente,8,12
2009-2017,082007,"Ulcera dello stomaco, duodeno e digiuno",1,0
2009-2017,082007,Malattie epatiche croniche,3,8
2009-2017,082007,Malattie della pelle e del tessuto sottocutaneo,0,2
2009-2017,082007,Malattie del sistema osteomuscolare e del tessuto connettivo,2,1
2009-2017,082007,Artrite reumatoide e osteoartrite,1,0
2009-2017,082007,Malattie del sistema genitourinario,6,2
2009-2017,082007,Malattie del rene e dell'uretere,6,2
2009-2017,082007,Alcune condizioni che hanno origine nel periodo perinatale,1,0
2009-2017,082007,"Sintomi, segni, risultati anomali e cause mal definite",6,3
2009-2017,082007,Cause esterne di traumatismo e avvelenamento,13,7
2009-2017,082007,Accidenti,11,6
2009-2017,082007,Accidenti di trasporto,2,0
2009-2017,082007,Cadute accidentali,7,5
2009-2017,082007,Suicidio e autolesione intenzionale,1,1
2009-2017,082007,Eventi di intento indeterminato,1,0
2009-2017,082008,Tumore,20,20
2009-2017,082008,Tumori maligni,20,19
2009-2017,082008,"Tumori maligni delle labbra, cavità orale e faringe",2,0
2009-2017,082008,Tumori maligni del colon,3,0
2009-2017,082008,Tumori maligni del retto e dell'ano,1,1
2009-2017,082008,Tumori maligni del fegato e dei dotti biliari intraepatici,2,2
2009-2017,082008,Tumori maligni del pancreas,1,2
2009-2017,082008,Tumori maligni della laringe e della trachea/bronchi/polm.,1,1
2009-2017,082008,Tumori maligni del seno,0,3
2009-2017,082008,Tumori maligni dell'ovaio,0,2
2009-2017,082008,Tumori maligni della prostata,5,0
2009-2017,082008,Tumori maligni del rene,1,1
2009-2017,082008,Tumori maligni della vescica,1,2
2009-2017,082008,Tumori maligni del tessuto linfatico/ematopoietico,3,1
2009-2017,082008,"Malattie endocrine, nutrizionali e metaboliche",2,14
2009-2017,082008,Diabete mellito,2,12
2009-2017,082008,Disturbi psichici e comportamentali,4,10
2009-2017,082008,Malattie del sistema nervoso e degli organi di senso,3,9
2009-2017,082008,Malattie del sistema circolatorio,45,37
2009-2017,082008,Malattie ischemiche del cuore,6,5
2009-2017,082008,Altre malattie del cuore,10,6
2009-2017,082008,Malattie cerebrovascolari,19,16
2009-2017,082008,Malattie del sistema respiratorio,6,2
2009-2017,082008,Polmonite,2,1
2009-2017,082008,Malattie croniche delle basse vie respiratorie,3,1
2009-2017,082008,Asma,1,1
2009-2017,082008,Malattie dell'apparato digerente,4,2
2009-2017,082008,Malattie epatiche croniche,1,2
2009-2017,082008,Malattie del sistema genitourinario,3,5
2009-2017,082008,Malattie del rene e dell'uretere,3,5
2009-2017,082008,Alcune condizioni che hanno origine nel periodo perinatale,0,2
2009-2017,082008,Malformazioni congenite e anormalità cromosomiche,0,1
2009-2017,082008,"Sintomi, segni, risultati anomali e cause mal definite",1,3
2009-2017,082008,Cause esterne di traumatismo e avvelenamento,5,1
2009-2017,082008,Accidenti,4,1
2009-2017,082008,Accidenti di trasporto,3,0
2009-2017,082008,Cadute accidentali,1,0
2009-2017,082008,Suicidio e autolesione intenzionale,1,0
2009-2017,082009,Malattie infettive e parassitarie,1,4
2009-2017,082009,Infezione meningococcica,0,1
2009-2017,082009,Epatite virale,1,2
2009-2017,082009,Tumore,101,73
2009-2017,082009,Tumori maligni,99,72
2009-2017,082009,"Tumori maligni delle labbra, cavità orale e faringe",1,0
2009-2017,082009,Tumori maligni dell'esofago,1,0
2009-2017,082009,Tumori maligni dello stomaco,8,6
2009-2017,082009,Tumori maligni del colon,11,9
2009-2017,082009,Tumori maligni del retto e dell'ano,2,0
2009-2017,082009,Tumori maligni del fegato e dei dotti biliari intraepatici,8,3
2009-2017,082009,Tumori maligni del pancreas,6,5
2009-2017,082009,Tumori maligni della laringe e della trachea/bronchi/polm.,22,5
2009-2017,082009,Tumori maligni del seno,0,16
2009-2017,082009,Tumori maligni della cervice uterina,0,1
2009-2017,082009,Tumori maligni di altre parti dell'utero,0,8
2009-2017,082009,Tumori maligni della prostata,13,0
2009-2017,082009,Tumori maligni del rene,2,2
2009-2017,082009,Tumori maligni della vescica,5,0
2009-2017,082009,Tumori maligni del tessuto linfatico/ematopoietico,10,7
2009-2017,082009,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,2,2
2009-2017,082009,"Malattie endocrine, nutrizionali e metaboliche",20,17
2009-2017,082009,Diabete mellito,20,15
2009-2017,082009,Disturbi psichici e comportamentali,17,23
2009-2017,082009,Malattie del sistema nervoso e degli organi di senso,16,12
2009-2017,082009,Malattie del sistema circolatorio,142,176
2009-2017,082009,Malattie ischemiche del cuore,45,55
2009-2017,082009,Altre malattie del cuore,17,16
2009-2017,082009,Malattie cerebrovascolari,37,38
2009-2017,082009,Malattie del sistema respiratorio,27,14
2009-2017,082009,Influenza,3,2
2009-2017,082009,Polmonite,6,3
2009-2017,082009,Malattie croniche delle basse vie respiratorie,14,4
2009-2017,082009,Asma,0,1
2009-2017,082009,Malattie dell'apparato digerente,14,8
2009-2017,082009,Malattie epatiche croniche,8,3
2009-2017,082009,Malattie del sistema osteomuscolare e del tessuto connettivo,0,1
2009-2017,082009,Malattie del sistema genitourinario,4,4
2009-2017,082009,Malattie del rene e dell'uretere,3,4
2009-2017,082009,Alcune condizioni che hanno origine nel periodo perinatale,0,2
2009-2017,082009,Malformazioni congenite e anormalità cromosomiche,2,0
2009-2017,082009,"Sintomi, segni, risultati anomali e cause mal definite",6,7
2009-2017,082009,Cause esterne di traumatismo e avvelenamento,23,11
2009-2017,082009,Accidenti,17,10
2009-2017,082009,Accidenti di trasporto,3,1
2009-2017,082009,Cadute accidentali,6,6
2009-2017,082009,Suicidio e autolesione intenzionale,6,1
2009-2017,082010,Malattie infettive e parassitarie,2,1
2009-2017,082010,Tubercolosi,1,0
2009-2017,082010,Tumore,74,55
2009-2017,082010,Tumori maligni,74,55
2009-2017,082010,Tumori maligni dell'esofago,2,0
2009-2017,082010,Tumori maligni dello stomaco,7,2
2009-2017,082010,Tumori maligni del colon,9,6
2009-2017,082010,Tumori maligni del retto e dell'ano,1,3
2009-2017,082010,Tumori maligni del fegato e dei dotti biliari intraepatici,1,1
2009-2017,082010,Tumori maligni del pancreas,4,4
2009-2017,082010,Tumori maligni della laringe e della trachea/bronchi/polm.,22,2
2009-2017,082010,Tumori maligni del seno,0,14
2009-2017,082010,Tumori maligni di altre parti dell'utero,0,2
2009-2017,082010,Tumori maligni dell'ovaio,0,1
2009-2017,082010,Tumori maligni della prostata,8,0
2009-2017,082010,Tumori maligni del rene,0,1
2009-2017,082010,Tumori maligni della vescica,3,1
2009-2017,082010,Tumori maligni del tessuto linfatico/ematopoietico,8,2
2009-2017,082010,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,0
2009-2017,082010,"Malattie endocrine, nutrizionali e metaboliche",18,22
2009-2017,082010,Diabete mellito,18,19
2009-2017,082010,Disturbi psichici e comportamentali,17,32
2009-2017,082010,Malattie del sistema nervoso e degli organi di senso,12,10
2009-2017,082010,Malattie del sistema circolatorio,90,108
2009-2017,082010,Malattie ischemiche del cuore,27,11
2009-2017,082010,Altre malattie del cuore,12,16
2009-2017,082010,Malattie cerebrovascolari,19,27
2009-2017,082010,Malattie del sistema respiratorio,17,15
2009-2017,082010,Polmonite,4,4
2009-2017,082010,Malattie croniche delle basse vie respiratorie,11,6
2009-2017,082010,Asma,1,1
2009-2017,082010,Malattie dell'apparato digerente,7,9
2009-2017,082010,"Ulcera dello stomaco, duodeno e digiuno",0,2
2009-2017,082010,Malattie epatiche croniche,4,0
2009-2017,082010,Malattie della pelle e del tessuto sottocutaneo,0,1
2009-2017,082010,Malattie del sistema osteomuscolare e del tessuto connettivo,2,4
2009-2017,082010,Artrite reumatoide e osteoartrite,1,3
2009-2017,082010,Malattie del sistema genitourinario,7,3
2009-2017,082010,Malattie del rene e dell'uretere,6,3
2009-2017,082010,Alcune condizioni che hanno origine nel periodo perinatale,2,0
2009-2017,082010,Malformazioni congenite e anormalità cromosomiche,1,0
2009-2017,082010,"Sintomi, segni, risultati anomali e cause mal definite",6,9
2009-2017,082010,Cause esterne di traumatismo e avvelenamento,12,13
2009-2017,082010,Accidenti,11,12
2009-2017,082010,Accidenti di trasporto,1,0
2009-2017,082010,Cadute accidentali,6,11
2009-2017,082010,Suicidio e autolesione intenzionale,1,0
2009-2017,082011,Malattie infettive e parassitarie,2,1
2009-2017,082011,Epatite virale,2,1
2009-2017,082011,Tumore,45,32
2009-2017,082011,Tumori maligni,43,30
2009-2017,082011,Tumori maligni del colon,1,5
2009-2017,082011,Tumori maligni del retto e dell'ano,3,1
2009-2017,082011,Tumori maligni del fegato e dei dotti biliari intraepatici,3,2
2009-2017,082011,Tumori maligni del pancreas,1,4
2009-2017,082011,Tumori maligni della laringe e della trachea/bronchi/polm.,17,1
2009-2017,082011,Tumori maligni del seno,0,5
2009-2017,082011,Tumori maligni di altre parti dell'utero,0,3
2009-2017,082011,Tumori maligni dell'ovaio,0,1
2009-2017,082011,Tumori maligni della prostata,5,0
2009-2017,082011,Tumori maligni del rene,1,0
2009-2017,082011,Tumori maligni della vescica,3,0
2009-2017,082011,Tumori maligni del tessuto linfatico/ematopoietico,4,3
2009-2017,082011,"Malattie endocrine, nutrizionali e metaboliche",14,9
2009-2017,082011,Diabete mellito,14,8
2009-2017,082011,Disturbi psichici e comportamentali,0,7
2009-2017,082011,Malattie del sistema nervoso e degli organi di senso,3,4
2009-2017,082011,Malattie del sistema circolatorio,66,81
2009-2017,082011,Malattie ischemiche del cuore,22,19
2009-2017,082011,Altre malattie del cuore,6,8
2009-2017,082011,Malattie cerebrovascolari,14,17
2009-2017,082011,Malattie del sistema respiratorio,11,15
2009-2017,082011,Polmonite,4,5
2009-2017,082011,Malattie croniche delle basse vie respiratorie,7,6
2009-2017,082011,Malattie dell'apparato digerente,5,7
2009-2017,082011,Malattie epatiche croniche,4,4
2009-2017,082011,Malattie del sistema genitourinario,3,3
2009-2017,082011,Malattie del rene e dell'uretere,3,2
2009-2017,082011,"Sintomi, segni, risultati anomali e cause mal definite",2,2
2009-2017,082011,Cause esterne di traumatismo e avvelenamento,6,2
2009-2017,082011,Accidenti,5,2
2009-2017,082011,Accidenti di trasporto,2,1
2009-2017,082011,Cadute accidentali,0,1
2009-2017,082011,Avvelenamento accidentale,1,0
2009-2017,082011,Suicidio e autolesione intenzionale,1,0
2009-2017,082012,Tumore,30,15
2009-2017,082012,Tumori maligni,29,15
2009-2017,082012,"Tumori maligni delle labbra, cavità orale e faringe",2,0
2009-2017,082012,Tumori maligni dello stomaco,2,0
2009-2017,082012,Tumori maligni del colon,2,2
2009-2017,082012,Tumori maligni del retto e dell'ano,1,0
2009-2017,082012,Tumori maligni del fegato e dei dotti biliari intraepatici,1,0
2009-2017,082012,Tumori maligni del pancreas,0,2
2009-2017,082012,Tumori maligni della laringe e della trachea/bronchi/polm.,6,0
2009-2017,082012,Tumori maligni del seno,0,4
2009-2017,082012,Tumori maligni della prostata,3,0
2009-2017,082012,Tumori maligni del rene,1,0
2009-2017,082012,Tumori maligni della vescica,2,0
2009-2017,082012,Tumori maligni del tessuto linfatico/ematopoietico,4,3
2009-2017,082012,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,0,1
2009-2017,082012,"Malattie endocrine, nutrizionali e metaboliche",3,4
2009-2017,082012,Diabete mellito,3,3
2009-2017,082012,Disturbi psichici e comportamentali,3,6
2009-2017,082012,Malattie del sistema nervoso e degli organi di senso,5,6
2009-2017,082012,Malattie del sistema circolatorio,50,82
2009-2017,082012,Malattie ischemiche del cuore,15,17
2009-2017,082012,Altre malattie del cuore,12,7
2009-2017,082012,Malattie cerebrovascolari,9,17
2009-2017,082012,Malattie del sistema respiratorio,10,6
2009-2017,082012,Influenza,0,1
2009-2017,082012,Polmonite,2,0
2009-2017,082012,Malattie croniche delle basse vie respiratorie,6,3
